english,description,translation,status,translator_note,placeholders,entry_id,row_id,kind,previous_translation,source_locations,source_revision
Confirm new game,New game confirmation action.,Confirmer la nouvelle partie,translated,,,tx1_mhbhrq3iylqwrak5h2avb3n2mu,row1_unp4bb7qdix6mjzbxdkjvls2ta,message,,src/chess_board.rs:221:13,rev1_4d466de8c011fd106192cc22d906bb776db5f310e52d0fd8a5f7c018b11ce636
New game,Start a new chess game.,Nouvelle partie,translated,,,tx1_ouadlv2lxxlk27p36iudw4uspq,row1_fdijdas6i3q5b4fqmsce23olte,message,,src/chess_board.rs:223:13,rev1_f74f60ec2d7dcb0830180532fe557aa10fb02812ea0245b3d827aeb74f3f637e
Move to {square},Legal chess move target.,Aller en {square},translated,,square,tx1_7zbazbirtz7asyw7e5jca4ubtm,row1_u6r4og4fdt2rsted6ynyczyikm,message,,src/chess_board.rs:257:11,rev1_1649f9b973a7690208af33b54b268009150405c733ca61f0819adeced52afa79
{piece} at {square},Chess piece on a square.,{piece} en {square},translated,,piece; square,tx1_5qtfprmtxuhxzwggjsk3cdlnuq,row1_mjgxswimfruwlocsdgy72nssq4,message,,src/chess_board.rs:323:9,rev1_2a673448adaf29615cedcb351e197a989ef6a356d6875bf5f390509a661e1c05
White Pawn,Chess piece and color.,Pion blanc,translated,,,tx1_ufiygitm6auh7yy6nzgjm4abam,row1_qmuhnu2psly5nxuvzuyhqbyzoa,message,,src/chess_labels.rs:8:36,rev1_40e4ab18c9206b02dba8113786234291c7eacdfd79a3633f7aa8d24bb38fab5a
White Knight,Chess piece and color.,Cavalier blanc,translated,,,tx1_ddofccpiqwfmh3pyb3sycmlwgi,row1_ujtmlsaok7siqfv7ox6xqx5ffq,message,,src/chess_labels.rs:9:38,rev1_f61374dbb1d4df232c541e79966ee749baf77d49e2a6687aa2c05609eacf47b8
White Bishop,Chess piece and color.,Fou blanc,translated,,,tx1_wko2b6itnymxx4fpuzhbafnktq,row1_bh3tdl73brs2xddtrzui4lfeg4,message,,src/chess_labels.rs:10:38,rev1_64dddfaeda17767148173e3ff332571190b0741dc059a7af218163e80ff7da3f
White Rook,Chess piece and color.,Tour blanche,translated,,,tx1_lem4yobwldjx6ckvxrjeurqgca,row1_jiwsjzs7pxqmzzn37o6gfxz6ja,message,,src/chess_labels.rs:11:36,rev1_ca6cb133258bfae06fd6f5fe08ea67a543d9f443fdd2841983f57199089ece48
White Queen,Chess piece and color.,Dame blanche,translated,,,tx1_pardufvje3creclbvhuwtysl6a,row1_ev3fmnc2o77zttw7lv7njeyq34,message,,src/chess_labels.rs:12:37,rev1_d91a272a84ff23dc5dc912548912e31b614c9a1b66aa23b7f5150858096db490
White King,Chess piece and color.,Roi blanc,translated,,,tx1_isk6nkk62crhokvqcfcjoyuzfm,row1_rljx5humn2xuqhrcxuneaiwaxa,message,,src/chess_labels.rs:13:36,rev1_60e3035b4baa4d3fe6901cffcc5f86a57d457c9cbca1c67372689a405d50e44f
Black Pawn,Chess piece and color.,Pion noir,translated,,,tx1_5jh2rdk3squvzte7kbsqnhu3sq,row1_lrr7fvx2u3eozjzjur7uo3efhq,message,,src/chess_labels.rs:14:36,rev1_a8e63440cf4aef49e83cca072a22e43c03bc1f30c3f9a37e1c14127213c08ce0
Black Knight,Chess piece and color.,Cavalier noir,translated,,,tx1_kayo7oxalxhfp5du6fquykm2va,row1_cvp5fdhhlmkgiw5geqcxgtnl7e,message,,src/chess_labels.rs:15:38,rev1_757978410bb603b166d28735006f18f1ce18cddf1213d6738ae4811c7023f241
Black Bishop,Chess piece and color.,Fou noir,translated,,,tx1_duuoa4xfl3eb7xqba3iowhduuu,row1_bmkvkpo63xnzl65wboqyjcdeuq,message,,src/chess_labels.rs:16:38,rev1_6090bf60f04bdfc1eb07b4deb6c604a9e3f228cbc09055ceb85452fbbfb07b79
