english,description,translation,status,translator_note,placeholders,entry_id,row_id,kind,previous_translation,source_locations,source_revision
MOTION AUTHORING,User-facing product copy in the Reactant sample.,MOTION AUTHORING,translated,,,tx1_wpakcgz5h4abkjxltmmgj4m524,row1_37rq2qy5wwgo2jugtgqk3xfuna,message,,rules/src/animation_validation/screen.rs:131:55,rev1_81cfd0a0460765cf52322179ea0308fb147039def952f14b6f61d423fbe83334
Targets & Timelines,User-facing product copy in the Reactant sample.,Targets & Timelines,translated,,,tx1_4yywpw34wyxwef3q6uzlbzrani,row1_fh7ieqzky2vi3u4lnykqa64uqq,message,,rules/src/animation_validation/screen.rs:135:55,rev1_cdd54b043002cec6d4afda3938914f107b907c2da98faa7174b17bc2c296fb2e
MOCKUP ASSETS,User-facing product copy in the Reactant sample.,MOCKUP ASSETS,translated,,,tx1_77m4fdhv5giphoaj6evcwet6c4,row1_i5h5koh6pa7jraataeg4gyykqa,message,,rules/src/assets.rs:324:47,rev1_ce10065df31bf4358d73421449d6068f368dbc4ce5a5a2650e461aee6a958145
Documentation link,User-facing product copy in the Reactant sample.,Documentation link,translated,,,tx1_367ykjswu2wly33jgi4oefrbzu,row1_5fyjcnagcm4dewfr4cmtdvtsse,message,,rules/src/collection_settings.rs:23:15,rev1_7efc2044604316a11caf44116f569bd430022b76e4609f05e723d77565c7503c
Open Unity documentation,User-facing product copy in the Reactant sample.,Open Unity documentation,translated,,,tx1_p44rskkunxv5q4nylrpqlzrx5q,row1_7uu6o7sgisynfen4avzcghec3m,message,,rules/src/collection_settings.rs:32:15,rev1_0cd240037d6185775d28f85740e6777a810f800f58bcd08662e96831bbdfbe41
COLLECTION SEMANTICS,User-facing product copy in the Reactant sample.,COLLECTION SEMANTICS,translated,,,tx1_zml3tti2q2dqka7trpkhdd5df4,row1_sujelg3nktn4gdholz6hg5fway,message,,rules/src/collection_settings.rs:43:18,rev1_b90c866aeae104ba51a582d7670f4ea736eafe1eb3f82c9d417878502796b961
Settings pages,User-facing product copy in the Reactant sample.,Settings pages,translated,,,tx1_eqaxtunst64gs3osrqs7aerwca,row1_t2vnqyxrjvfedlxr3jswt6objq,message,,rules/src/collection_settings.rs:52:47,rev1_85af6cfa71b26262a15b9c709333f84b36e9194c16f7b7c37d95098bcfbff251
Collection settings,User-facing product copy in the Reactant sample.,Collection settings,translated,,,tx1_gcihj4dzeyf4wcmulnxkac56ta,row1_csdjuat4oegtscahqi4cnz3hki,message,,rules/src/collection_settings.rs:73:43,rev1_68e0a0c544644d401b59c1249a3822d09c98a5ce39533aebe356a66efadcc759
Display quality,User-facing product copy in the Reactant sample.,Display quality,translated,,,tx1_32ilub7xchaylt422rixbidgdi,row1_l4x2uunxqe5f5sjriuqpwvscke,message,,rules/src/collection_settings.rs:81:48,rev1_4b21410afa0bb6700bef2b09091faa4dc8ad43f9bd6192cb5feaa96e8dbe522a
Keyboard bindings,User-facing product copy in the Reactant sample.,Keyboard bindings,translated,,,tx1_2xuou4bxe4eobv2pj6ekie5yry,row1_6if6av34us3evzoxr2adzfr4dm,message,,rules/src/collection_settings.rs:104:46,rev1_334d064cbb170cbc6325241ea75f5fa314811999391a9ac6cddf23518fa01375
ACTION,User-facing product copy in the Reactant sample.,ACTION,translated,,,tx1_5ewpzf23nad4n3dtkkmmkkhayu,row1_ag35xdl2fel4n7v5trmvv55uim,message,,rules/src/collection_settings.rs:114:30,rev1_b9b3bc7c0fadc75fc45f237dd0b912ed0032b8a6f9ffcb5c4998996aeb70b201
Action,User-facing product copy in the Reactant sample.,Action,translated,,,tx1_f6aznwdkvuonhdid2q4azy5cje,row1_glug2wmtqtit2ksmofwqcrykqu,message,,rules/src/collection_settings.rs:118:60,rev1_ba29057850edbe96d5cadaae2ef8c636f31eea351ed42205c445ce05fe64c303
KEYBOARD,User-facing product copy in the Reactant sample.,KEYBOARD,translated,,,tx1_5a7zkbacjt4e5rjuvpf2gxpoju,row1_cjyhze5fsak5k56x4q7imigdfq,message,,rules/src/collection_settings.rs:122:30,rev1_ed4e722553de41ec5b9b39d2244c0efcbd115a23104268ee95b7bafff34b1b3f
Keyboard,User-facing product copy in the Reactant sample.,Keyboard,translated,,,tx1_7f3shjy5cjhg7xytsxkkaipodm,row1_rw26an4zwzx5f64grgle2essw4,message,,rules/src/collection_settings.rs:126:60,rev1_eb19244e011d56b7989b7576c028b15d490a462833370a5e16b6b3f141d7d8f5
MOVE,User-facing product copy in the Reactant sample.,MOVE,translated,,,tx1_xnkfdodd25ctepyleu2gwn6ocm,row1_n6bxfrkffz2lo3g4hoqq5qlrta,message,,rules/src/collection_settings.rs:136:30,rev1_b72d88fe7f1db041c66170695d26b263bdcde811ec6b183eff1afef490498887
Move,User-facing product copy in the Reactant sample.,Move,translated,,,tx1_esappoexwbyck7hmdjyhair5zy,row1_6otogo3t4nuq5igarekdb4socm,message,,rules/src/collection_settings.rs:140:57,rev1_f4eb715defdf447dadf803a5fad123c4cbc0bbb524f19e37a27b45643fa18851
W,User-facing product copy in the Reactant sample.,W,translated,,,tx1_eqklottcurmb23xdoc2qhxxouy,row1_psflvs3koai325dcmaq3yfipou,message,,rules/src/collection_settings.rs:144:30; rules/src/collection_settings.rs:145:43,rev1_4cb29d66428f75c7bc9bc560027e9439fe65717b3354e2c64d6e8ef66ee4bdf9
OPEN UNITY DOCUMENTATION,User-facing product copy in the Reactant sample.,OPEN UNITY DOCUMENTATION,translated,,,tx1_gm5nrenprjw2bf46d7kwqngdhq,row1_2shorcxmzujhpaxyzoykdzwfle,message,,rules/src/collection_settings.rs:152:23,rev1_1b75b866a92a4195c62c3d60c84de209778a4a7e04186a19c7247735c123a6db
DOCUMENTATION LINK,User-facing product copy in the Reactant sample.,DOCUMENTATION LINK,translated,,,tx1_sfte3pysatoyayrxmwuxmkgqny,row1_bhgq72oa4amuygrkqtv5epymwi,message,,rules/src/collection_settings.rs:157:23,rev1_9e3d820c4af5e33439e039f83ae5725aa1f17779c504402ab84b94bc570f64e3
